iter	Passed	Remaining
327	14094	28876
328	14134	28827
329	14176	28781
330	14218	28737
331	14260	28693
332	14302	28647
333	14348	28610
334	14396	28578
335	14454	28565
336	14497	28522
337	14540	28478
338	14583	28435
339	14627	28394
340	14671	28354
341	14715	28311
342	14761	28274
343	14799	28221
344	14838	28171
345	14878	28123
346	14916	28069
347	14954	28018
348	14993	27967
349	15037	27926
350	15078	27879
351	15117	27830
352	15156	27780
353	15196	27731
354	15236	27682
355	15273	27630
356	15312	27579
357	15351	27530
358	15398	27493
359	15437	27443
360	15474	27391
361	15510	27335
362	15546	27281
363	15585	27231
364	15623	27180
365	15660	27126
366	15696	27072
367	15732	27019
368	15770	26967
369	15807	26915
370	15846	26866
371	15885	26816
372	15923	26767
373	15962	26717
374	15999	26666
375	16038	26616
376	16076	26566
377	16118	26522
378	16158	26476
379	16199	26431
380	16239	26383
381	16283	26344
382	16322	26295
383	16366	26254
384	16407	26209
385	16450	26166
386	16489	26119
387	16530	26074
388	16571	26028
389	16610	25981
390	16650	25934
391	16692	25890
392	16735	25848
393	16777	25804
394	16817	25758
395	16859	25714
396	16897	25666
397	16936	25617
398	16974	25567
399	17012	25518
400	17050	25468
401	17089	25421
402	17127	25372
403	17165	25322
404	17202	25272
405	17239	25222
406	17276	25171
407	17314	25122
408	17353	25075
409	17391	25027
410	17431	24981
411	17469	24932
412	17509	24885
413	17549	24840
414	17590	24796
415	17629	24749
416	17671	24706
417	17715	24665
418	17761	24628
419	17806	24590
420	17847	24545
421	17892	24507
422	17934	24464
423	17977	24422
424	18019	24378
425	18060	24334
426	18102	24291
427	18141	24245
428	18181	24199
429	18222	24155
430	18270	24120
431	18310	24074
432	18352	24031
433	18395	23989
434	18435	23944
435	18478	23903
436	18519	23859
437	18559	23813
438	18600	23769
439	18639	23722
440	18680	23678
441	18718	23631
442	18756	23583
443	18794	23535
444	18833	23488
445	18871	23441
446	18910	23395
447	18950	23350
448	18988	23301
449	19026	23254
450	19065	23208
451	19105	23162
452	19145	23118
453	19183	23071
454	19222	23025
455	19260	22977
456	19299	22931
457	19340	22887
458	19378	22840
459	19416	22793
460	19452	22744
461	19489	22695
462	19528	22649
463	19566	22602
464	19605	22556
465	19641	22507
466	19678	22460
467	19717	22413
468	19753	22364
469	19789	22315
470	19826	22267
471	19864	22221
472	19904	22176
473	19943	22131
474	19980	22084
475	20018	22037
476	20055	21989
477	20092	21941
478	20130	21895
479	20167	21848
480	20205	21801
481	20241	21752
482	20278	21705
483	20315	21658
484	20351	21610
485	20387	21562
486	20423	21513
487	20458	21465
488	20497	21420
489	20534	21372
490	20571	21325
491	20609	21279
492	20649	21235
493	20688	21190
494	20726	21145
495	20763	21098
496	20799	21051
497	20836	21004
498	20872	20956
499	20908	20908
500	20944	20860
501	20981	20814
502	21018	20767
503	21054	20720
504	21092	20675
505	21129	20628
506	21165	20580
507	21200	20533
508	21237	20486
509	21275	20440
510	21311	20393
511	21348	20348
512	21384	20300
513	21421	20254
514	21458	20208
515	21495	20162
516	21532	20116
517	21569	20070
518	21605	20023
519	21641	19976
520	21676	19929
521	21714	19883
522	21752	19839
523	21788	19792
524	21824	19745
525	21860	19699
526	21898	19654
527	21935	19608
528	21970	19561
529	22007	19515
530	22044	19470
531	22079	19423
532	22115	19376
533	22151	19330
534	22187	19284
535	22224	19239
536	22261	19194
537	22297	19147
538	22333	19101
539	22369	19055
540	22406	19010
541	22442	18964
542	22477	18917
543	22514	18872
544	22552	18828
545	22588	18782
546	22624	18736
547	22660	18690
548	22698	18646
549	22735	18601
550	22772	18557
551	22810	18512
552	22848	18468
553	22884	18423
554	22921	18378
555	22956	18332
556	22993	18287
557	23030	18242
558	23067	18197
559	23104	18153
560	23140	18108
561	23176	18062
562	23213	18018
563	23250	17973
564	23287	17929
565	23324	17885
566	23361	17840
567	23397	17795
568	23434	17750
569	23471	17706
570	23507	17661
571	23544	17617
572	23580	17572
573	23617	17527
574	23653	17483
575	23689	17438
576	23727	17394
577	23763	17349
578	23799	17305
579	23835	17260
580	23871	17215
581	23906	17169
582	23942	17125
583	23979	17080
584	24016	17037
585	24053	16993
586	24089	16948
587	24125	16903
588	24162	16860
589	24199	16816
590	24236	16773
591	24274	16729
592	24312	16686
593	24348	16642
594	24383	16597
595	24419	16552
596	24455	16508
597	24492	16464
598	24527	16420
599	24564	16376
600	24601	16332
601	24636	16288
602	24673	16244
603	24709	16200
604	24746	16156
605	24782	16112
606	24817	16068
607	24853	16024
608	24891	15981
609	24927	15937
610	24964	15893
611	25002	15851
612	25038	15807
613	25075	15764
614	25112	15720
615	25148	15677
616	25184	15633
617	25222	15590
618	25261	15548
619	25298	15505
620	25334	15461
621	25369	15417
622	25406	15374
623	25445	15332
624	25483	15289
625	25518	15245
626	25556	15203
627	25595	15161
628	25633	15119
629	25670	15076
630	25708	15033
631	25745	14990
632	25782	14948
633	25818	14904
634	25855	14861
635	25891	14818
636	25927	14775
637	25964	14732
638	25999	14688
639	26035	14645
640	26072	14602
641	26108	14559
642	26145	14516
643	26181	14473
644	26217	14430
645	26254	14387
646	26290	14343
647	26327	14301
648	26365	14259
649	26402	14216
650	26438	14173
651	26474	14130
652	26510	14087
653	26548	14045
654	26587	14003
655	26623	13961
656	26661	13919
657	26697	13876
658	26735	13834
659	26774	13793
660	26814	13751
661	26852	13710
662	26890	13668
663	26929	13626
664	26968	13585
665	27004	13542
666	27044	13501
667	27081	13459
668	27118	13417
669	27156	13375
670	27197	13335
671	27238	13294
672	27279	13254
673	27324	13216
674	27368	13177
675	27412	13138
676	27445	13094
677	27486	13054
678	27524	13012
679	27566	12972
680	27600	12928
681	27636	12886
682	27681	12847
683	27717	12804
684	27760	12765
685	27800	12725
686	27840	12684
687	27877	12642
688	27915	12600
689	27954	12559
690	27990	12516
691	28032	12476
692	28073	12436
693	28112	12395
694	28150	12353
695	28184	12310
696	28217	12266
697	28258	12226
698	28290	12182
699	28325	12139
700	28366	12099
701	28404	12057
702	28447	12018
703	28489	11978
704	28532	11938
705	28572	11898
706	28610	11857
707	28646	11814
708	28683	11772
709	28721	11731
710	28757	11689
711	28797	11648
712	28836	11607
713	28874	11565
714	28912	11524
715	28948	11482
716	28985	11440
717	29021	11398
718	29055	11355
719	29092	11313
720	29129	11272
721	29166	11230
722	29203	11188
723	29240	11147
724	29283	11107
725	29328	11068
726	29370	11029
727	29409	10988
728	29447	10946
729	29481	10904
730	29517	10861
731	29557	10821
732	29595	10780
733	29630	10738
734	29669	10696
735	29706	10655
736	29744	10614
737	29783	10573
738	29817	10530
739	29849	10487
740	29887	10446
741	29928	10406
742	29966	10365
743	30004	10324
744	30046	10284
745	30079	10241
746	30112	10198
747	30144	10155
748	30176	10112
749	30210	10070
750	30244	10027
751	30284	9987
752	30322	9946
753	30363	9906
754	30396	9863
755	30432	9822
756	30468	9780
757	30504	9738
758	30542	9698
759	30579	9656
760	30621	9617
761	30663	9577
762	30698	9535
763	30731	9493
764	30767	9451
765	30799	9408
766	30830	9365
767	30864	9323
768	30905	9283
769	30946	9243
770	30986	9203
771	31023	9162
772	31060	9121
773	31101	9081
774	31138	9040
775	31175	8999
776	31212	8958
777	31250	8917
778	31291	8877
779	31336	8838
780	31376	8798
781	31415	8757
782	31457	8717
783	31496	8677
784	31537	8637
785	31579	8598
786	31621	8558
787	31659	8517
788	31697	8476
789	31741	8437
790	31778	8396
791	31815	8355
792	31853	8314
793	31892	8274
794	31933	8234
795	31974	8194
796	32016	8154
797	32060	8115
798	32106	8076
799	32149	8037
800	32190	7997
801	32231	7957
802	32270	7916
803	32313	7877
804	32352	7836
805	32392	7796
806	32430	7755
807	32468	7715
808	32506	7674
809	32544	7633
810	32583	7593
811	32621	7552
812	32658	7511
813	32696	7471
814	32736	7430
815	32775	7390
816	32814	7350
817	32852	7309
818	32890	7268
819	32926	7227
820	32965	7187
821	33002	7146
822	33041	7106
823	33079	7065
824	33117	7024
825	33154	6984
826	33192	6943
827	33230	6903
828	33270	6862
829	33310	6822
830	33348	6782
831	33387	6741
832	33424	6700
833	33462	6660
834	33501	6619
835	33538	6579
836	33576	6538
837	33616	6498
838	33654	6458
839	33691	6417
840	33730	6377
841	33769	6336
842	33814	6297
843	33853	6257
844	33893	6217
845	33929	6176
846	33968	6135
847	34006	6095
848	34043	6054
849	34081	6014
850	34122	5974
851	34162	5934
852	34201	5894
853	34240	5853
854	34278	5813
855	34319	5773
856	34361	5733
857	34409	5694
858	34453	5655
859	34494	5615
860	34533	5575
861	34571	5534
862	34609	5494
863	34648	5453
864	34686	5413
865	34727	5373
866	34765	5333
867	34804	5292
868	34845	5252
869	34884	5212
870	34928	5173
871	34969	5133
872	35011	5093
873	35050	5053
874	35085	5012
875	35120	4971
876	35155	4930
877	35191	4889
878	35229	4849
879	35267	4809
880	35304	4768
881	35341	4728
882	35378	4687
883	35413	4647
884	35451	4606
885	35489	4566
886	35525	4525
887	35562	4485
888	35599	4444
889	35634	4404
890	35671	4363
891	35709	4323
892	35746	4283
893	35782	4242
894	35821	4202
895	35858	4162
896	35895	4121
897	35931	4081
898	35968	4040
899	36005	4000
900	36043	3960
901	36082	3920
902	36118	3879
903	36155	3839
904	36191	3799
905	36227	3758
906	36263	3718
907	36301	3678
908	36337	3637
909	36369	3596
910	36406	3556
911	36443	3516
912	36482	3476
913	36519	3436
914	36557	3396
915	36594	3355
916	36632	3315
917	36669	3275
918	36705	3235
919	36743	3195
920	36780	3154
921	36817	3114
922	36855	3074
923	36893	3034
924	36934	2994
925	36974	2954
926	37014	2914
927	37054	2874
928	37092	2834
929	37129	2794
930	37166	2754
931	37202	2714
932	37239	2674
933	37275	2634
934	37311	2593
935	37348	2553
936	37384	2513
937	37422	2473
938	37458	2433
939	37495	2393
940	37531	2353
941	37566	2313
942	37602	2272
943	37638	2232
944	37677	2192
945	37713	2152
946	37751	2112
947	37788	2072
948	37825	2032
949	37861	1992
950	37898	1952
951	37936	1912
952	37973	1872
953	38012	1832
954	38054	1793
955	38093	1753
956	38132	1713
957	38173	1673
958	38211	1633
959	38248	1593
960	38285	1553
961	38323	1513
962	38359	1473
963	38399	1434
964	38437	1394
965	38474	1354
966	38511	1314
967	38547	1274
968	38584	1234
969	38620	1194
970	38658	1154
971	38693	1114
972	38730	1074
973	38767	1034
974	38803	994
975	38839	955
976	38876	915
977	38913	875
978	38949	835
979	38987	795
980	39023	755
981	39060	715
982	39098	676
983	39137	636
984	39179	596
985	39219	556
986	39256	517
987	39293	477
988	39330	437
989	39366	397
990	39403	357
991	39440	318
992	39476	278
993	39512	238
994	39548	198
995	39585	158
996	39621	119
997	39662	79
998	39703	39
999	39741	0
